State,Congressional District ID,Congressional District Name,Number,Percent,Number,Percent
Maine,2301,Congressional District 1,58033,0.0870104357600212,131789,0.197594776749611
Maryland,2401,Congressional District 1,61996,0.0864078626036644,140948,0.196448400616646
Illinois,1710,Congressional District 10,59992,0.0862274914979935,146462,0.21051225066185
Virginia,5108,Congressional District 8,68394,0.0859855189919472,144420,0.181566059589386
Wisconsin,5501,Congressional District 1,59621,0.0850485637784004,151370,0.215927287936211
New Hampshire,3301,Congressional District 1,54869,0.0840408354997635,116320,0.178163081407547
California,642,Congressional District 42,68347,0.0835034623742104,167303,0.204403698444366
Illinois,1711,Congressional District 11,59230,0.0829665660858154,145336,0.203579768538475
New Jersey,3412,Congressional District 12,61083,0.0827691927552223,135889,0.184133425354958
New York,3627,Congressional District 27,57374,0.0826064795255661,144654,0.208271309733391
Ohio,3912,Congressional District 12,62621,0.0823933407664299,151404,0.199209243059158
Arizona,408,Congressional District 8,62891,0.0821993872523308,153720,0.20091412961483
Indiana,1805,Congressional District 5,62820,0.082149863243103,142414,0.186235129833221
California,652,Congressional District 52,61405,0.0821120068430901,116393,0.155643075704575
Texas,4822,Congressional District 22,72114,0.0809980258345604,160240,0.179980635643005
Arizona,405,Congressional District 5,65423,0.0800467357039452,153067,0.18728144466877
Maryland,2404,Congressional District 4,60329,0.0798657611012459,139959,0.185282900929451
California,633,Congressional District 33,54299,0.0792199224233627,105314,0.153648629784584
Kansas,2003,Congressional District 3,60495,0.0791908502578735,145372,0.190298914909363
Illinois,1705,Congressional District 5,56824,0.0790093541145325,128955,0.179301902651787
Texas,4810,Congressional District 10,65863,0.0789735615253448,191328,0.229413375258446
Hawaii,1501,Congressional District 1,54600,0.0785522237420082,123891,0.178240165114403
Massachusetts,2508,Congressional District 8,58656,0.078459806740284,121834,0.162968352437019
Maryland,2403,Congressional District 3,58749,0.0783908441662788,138528,0.184842750430107
Ohio,3916,Congressional District 16,55097,0.0783593952655792,127464,0.181280329823494
Utah,4904,Congressional District 4,61916,0.077952653169632,162230,0.204248636960983
Massachusetts,2505,Congressional District 5,57255,0.077475480735302,117727,0.159304097294807
Connecticut,902,Congressional District 2,51277,0.0770547389984131,123754,0.185967043042183
Virginia,5107,Congressional District 7,59690,0.0767382457852364,147909,0.190153747797012
Massachusetts,2506,Congressional District 6,57904,0.0764456689357758,118866,0.156928554177284
California,649,Congressional District 49,55535,0.076258048415184,140269,0.192610785365105
Pennsylvania,4218,Congressional District 18,52910,0.0759482011198997,125189,0.17969910800457
Colorado,806,Congressional District 6,60152,0.0747038647532463,145096,0.18019737303257
Wisconsin,5505,Congressional District 5,53147,0.0741644725203514,114905,0.160345241427422
New York,3602,Congressional District 2,52501,0.0733610764145851,109173,0.152550399303436
Pennsylvania,4206,Congressional District 6,51181,0.0721404775977135,109248,0.153986886143684
Georgia,1306,Congressional District 6,54089,0.0718431696295738,127806,0.169757038354874
Texas,4824,Congressional District 24,56660,0.0712340623140335,164272,0.206525981426239
Maryland,2405,Congressional District 5,52801,0.0706686526536942,115260,0.154263526201248
New Hampshire,3302,Congressional District 2,45097,0.069808192551136,114995,0.178007259964943
Massachusetts,2504,Congressional District 4,50389,0.0695717334747314,103857,0.143394634127617
Virginia,5101,Congressional District 1,53964,0.0685324147343636,120413,0.152920350432396
New York,3604,Congressional District 4,48756,0.06789630651474,105540,0.146972194314003
Washington,5301,Congressional District 1,49381,0.067010261118412,104739,0.142131343483925
Virginia,5111,Congressional District 11,50955,0.0661951005458832,116257,0.151028230786324
New Jersey,3403,Congressional District 3,48107,0.0658920556306839,117291,0.160653233528137
Texas,4826,Congressional District 26,56944,0.065743200480938,123370,0.142433598637581
California,617,Congressional District 17,48807,0.0640402585268021,100841,0.132314696907997
California,614,Congressional District 14,47796,0.0639287382364273,114282,0.152855962514877
New York,3601,Congressional District 1,44356,0.0631851851940155,98409,0.140183761715889
Maryland,2408,Congressional District 8,47327,0.0630418956279755,116035,0.154564335942268
Texas,4803,Congressional District 3,54184,0.0625186040997505,132653,0.153057739138603
Michigan,2611,Congressional District 11,43045,0.0596640668809414,100306,0.139032736420631
New York,3603,Congressional District 3,42341,0.0594469085335732,100780,0.1414954662323
Pennsylvania,4208,Congressional District 8,41378,0.0586872026324272,91895,0.130336418747902
California,618,Congressional District 18,42485,0.0582520961761475,85497,0.117226772010326
Missouri,2902,Congressional District 2,43449,0.0577918365597725,90377,0.120211116969585
Minnesota,2706,Congressional District 6,40224,0.0573226623237133,107812,0.153641372919083
New Jersey,3405,Congressional District 5,39322,0.0536432452499866,89799,0.122504189610481
Illinois,1714,Congressional District 14,39416,0.0532389655709267,100537,0.135794743895531
Minnesota,2702,Congressional District 2,36912,0.0531929135322571,95103,0.137050434947014
New Jersey,3407,Congressional District 7,39360,0.052867766469717,79910,0.107333928346634
Illinois,1706,Congressional District 6,37246,0.0523766800761223,83868,0.117938235402107
Pennsylvania,4207,Congressional District 7,35855,0.0511108115315437,83714,0.119333155453205
California,615,Congressional District 15,39409,0.050611175596714,92309,0.118548229336739
Minnesota,2703,Congressional District 3,35412,0.0499437265098095,81597,0.115081280469894
Virginia,5110,Congressional District 10,34021,0.0404027327895164,89568,0.106369361281395
New Jersey,3411,Congressional District 11,25657,0.0358543284237385,67880,0.0948587879538536
