State,Congressional District ID,Congressional District Name,Number,Percent,Number,Percent
Texas,4820,Congressional District 20,139412,0.175868704915047,292810,0.369380801916122
Ohio,3913,Congressional District 13,121115,0.174534901976585,248727,0.358432412147522
West Virginia,5401,Congressional District 1,101608,0.173052594065666,193204,0.329053342342377
Virginia,5103,Congressional District 3,122872,0.172576189041138,232268,0.326225072145462
North Carolina,3707,Congressional District 7,135087,0.172405570745468,278867,0.355905622243881
Texas,4823,Congressional District 23,127836,0.171212524175644,283166,0.379248142242432
California,601,Congressional District 1,118506,0.170599117875099,235598,0.339162677526474
Alabama,101,Congressional District 1,119104,0.170360788702965,236816,0.338730543851852
California,646,Congressional District 46,122354,0.170092731714249,267930,0.372467994689941
Texas,4819,Congressional District 19,117599,0.169802606105804,245014,0.353778660297394
North Carolina,3705,Congressional District 5,124060,0.168921500444412,247225,0.336624354124069
West Virginia,5402,Congressional District 2,102757,0.168814703822136,199605,0.327921777963638
New Jersey,3410,Congressional District 10,127702,0.167564392089844,258048,0.338598132133484
North Carolina,3703,Congressional District 3,120274,0.167356833815575,235912,0.328262835741043
South Carolina,4503,Congressional District 3,111340,0.167318612337112,240188,0.360947757959366
Pennsylvania,4214,Congressional District 14,110505,0.167318239808083,217002,0.328567892313004
District of Columbia,1198,Delegate District (at Large),109920,0.166383609175682,178923,0.270832002162933
California,643,Congressional District 43,122701,0.166270524263382,263096,0.356517970561981
Tennessee,4701,Congressional District 1,115563,0.166037365794182,261300,0.375427812337875
Illinois,1717,Congressional District 17,110519,0.165810003876686,223308,0.335025668144226
Kentucky,2106,Congressional District 6,123953,0.165736719965935,238481,0.318871319293976
Georgia,1301,Congressional District 1,119759,0.165725886821747,251870,0.348544836044312
Oklahoma,4005,Congressional District 5,132844,0.165723338723183,279023,0.348082154989243
Maryland,2407,Congressional District 7,115285,0.165687695145607,204629,0.294092953205109
Oregon,4104,Congressional District 4,130235,0.165428400039673,267205,0.339411795139313
Michigan,2612,Congressional District 12,112575,0.164159491658211,208610,0.30419996380806
California,629,Congressional District 29,116020,0.163915663957596,266368,0.376330703496933
California,635,Congressional District 35,117134,0.163161545991898,263766,0.367412269115448
Arizona,409,Congressional District 9,123137,0.163061678409576,235939,0.312437444925308
Florida,1225,Congressional District 25,125129,0.162274435162544,283342,0.367454081773758
Florida,1210,Congressional District 10,130949,0.159531056880951,304976,0.371542692184448
New York,3610,Congressional District 10,113976,0.159512966871262,209102,0.292644768953323
Mississippi,2801,Congressional District 1,118631,0.159230262041092,254298,0.341326773166656
Ohio,3901,Congressional District 1,114096,0.158610954880714,201998,0.280808240175247
Illinois,1704,Congressional District 4,110042,0.157999619841576,257701,0.370010197162628
Florida,1202,Congressional District 2,108362,0.157886832952499,226380,0.329842776060104
Oklahoma,4003,Congressional District 3,116718,0.157497808337212,247813,0.334395736455917
Georgia,1310,Congressional District 10,111380,0.157080546021461,225331,0.317786991596222
California,631,Congressional District 31,115922,0.156758114695549,237606,0.321308016777039
New Mexico,3501,Congressional District 1,107270,0.156110838055611,223535,0.325312167406082
Texas,4827,Congressional District 27,112653,0.155786991119385,244851,0.338602602481842
California,647,Congressional District 47,111335,0.155429378151894,214828,0.299910932779312
New York,3609,Congressional District 9,115616,0.155420407652855,232925,0.313116699457169
Washington,5304,Congressional District 4,110452,0.15472349524498,247546,0.346767663955688
New Jersey,3408,Congressional District 8,118935,0.154685437679291,265721,0.34559354186058
New York,3623,Congressional District 23,100908,0.152730077505112,210153,0.318078696727753
Missouri,2907,Congressional District 7,114021,0.150952607393265,264006,0.349518030881882
Florida,1227,Congressional District 27,112304,0.150436088442802,248403,0.332746624946594
Florida,1215,Congressional District 15,119016,0.150201991200447,270892,0.341874331235886
Kentucky,2102,Congressional District 2,109874,0.149406105279922,233926,0.31809139251709
South Carolina,4505,Congressional District 5,105240,0.149317681789398,220903,0.313423842191696
Tennessee,4703,Congressional District 3,106382,0.149298220872879,233709,0.327991008758545
Virginia,5104,Congressional District 4,110089,0.14880833029747,220891,0.298580437898636
North Carolina,3709,Congressional District 9,114733,0.148626536130905,216454,0.280397176742554
Pennsylvania,4205,Congressional District 5,96351,0.14851975440979,199222,0.30708971619606
Ohio,3906,Congressional District 6,99956,0.148471415042877,211370,0.313962161540985
New York,3625,Congressional District 25,102852,0.14823354780674,191876,0.276537746191025
California,609,Congressional District 9,112837,0.148218154907227,232923,0.305958300828934
Indiana,1801,Congressional District 1,102950,0.147904768586159,200741,0.288397759199142
New York,3622,Congressional District 22,98040,0.147779911756516,198613,0.299377918243408
North Carolina,3713,Congressional District 13,112397,0.147550255060196,242016,0.317708879709244
North Carolina,3706,Congressional District 6,110885,0.147013589739799,238686,0.316454768180847
Ohio,3910,Congressional District 10,101976,0.146935880184174,219659,0.316503763198853
Missouri,2905,Congressional District 5,111214,0.146815806627274,238466,0.314803689718246
Minnesota,2705,Congressional District 5,103103,0.146783798933029,205850,0.293060779571533
Georgia,1314,Congressional District 14,102770,0.146623879671097,246187,0.351239591836929
Michigan,2604,Congressional District 4,97860,0.145251274108887,219415,0.325672477483749
New Jersey,3409,Congressional District 9,110859,0.144827768206596,225072,0.294037252664566
Florida,1206,Congressional District 6,108762,0.144765272736549,239192,0.31837123632431
Arkansas,503,Congressional District 3,114211,0.144676372408867,257924,0.326724290847778
Florida,1209,Congressional District 9,124114,0.144525304436684,305437,0.355667978525162
Florida,1226,Congressional District 26,113422,0.144237279891968,266159,0.338470935821533
Indiana,1808,Congressional District 8,98616,0.1440349817276,204148,0.29817122220993
Oregon,4103,Congressional District 3,118655,0.143469303846359,224831,0.271849870681763
